license_number,professional_name,profession,specialty,license_issue_date,license_expiry_date,license_status,primary_facility_license,registered_region,disciplinary_status
LIC-TMB-ADM-1043,Sena Grell,public administration professional,programme administration,2003-07-01,,active,,Tembaran,none
LIC-VLN-RES-1044,Ravin Palen,physician,clinical physiology,1995-07-01,,active,FAC-VLN-101,Valennan,none
LIC-KNT-ADM-1045,Bela Waren,public administration professional,programme administration,1994-07-01,,active,,Kintaran,none
LIC-TMB-ADM-1046,Farah Ferran,public administration professional,programme administration,2006-07-01,,active,,Tembaran,none
LIC-AVL-ENV-1047,Jalen Zorin,environmental professional,environmental assessment,2008-07-01,,active,FAC-AVL-301,Aveloran,none
LIC-AVL-ENV-1048,Vera Waren,environmental professional,environmental assessment,1991-07-01,,active,FAC-AVL-301,Aveloran,none
LIC-NDH-LEG-1049,Daria Garen,legal professional,regulatory compliance,2000-07-01,,active,,Nordhaven,none
LIC-VLN-ADM-1050,Jalen Havel,public administration professional,programme administration,1984-07-01,,active,,Valennan,none
LIC-AVL-RES-1051,Uma Wessen,research professional,public policy research,2015-07-01,,active,FAC-AVL-301,Aveloran,resolved administrative review
LIC-KNT-ADM-1052,Daria Maren,public administration professional,programme administration,2001-07-01,,active,,Kintaran,none
LIC-TMB-ADM-1053,Petra Koral,public administration professional,programme administration,2005-07-01,,active,,Tembaran,none
